ID	Article	Reference	Title	Year	Participants	Formula	Formula_type	Correlation	Corrected_r	r_nature	N_sub	%Women	Instructions_orig	Instructions_comb	N_trials	Time_intervals	Questionnaire	Variance	notes
Herbert 2011	1	Herbert et al., 2011	On the relationship between interoceptive awareness and alexithymia: Is interoceptive awareness related to emotional awareness?	2011	healthy	0	0	-0.37	-0.37	0	155	56.77	1	1	4	25, 35, 45, 55	TAS-20	0.005641176471	
Scarpazza 2015	2	Scarpazza et al., 2015	Dissociation between Emotional Remapping of Fear and Disgust in Alexithymia	2015	healthy	0	0	-0.78	0.78	1	40	75	1	1	4	25, 35, 45, 55	TAS-20	0.01030526316	
Ricciardi 2016 (2) (c.)	3	Ricciardi et al., 2016	Interoceptive awareness in patients with functional neurological symptoms	2016	patients	0	0	-0.38	-0.38	0	16	75	1	1	3	25, 35, 45	TAS-20	0.06111428571	
Ricciardi 2016 (2) (h.)	3	Ricciardi et al., 2016	Interoceptive awareness in patients with functional neurological symptoms	2016	healthy	0	0	0.02	0.02	0	17	70.59	1	1	3	25, 35, 45	TAS-20	0.06664	
Ricciardi 2016 (1)	4	Ricciardi et al., 2016	Know thyself: Exploring interoceptive sensitivity in Parkinson's disease	2016	patients	0	0	0.05	0.05	0	20	35	1	1	3	25, 35, 45	TAS-20	0.05541666667	
Shah 2016 (1) Exp 1	5	Shah et al., 2016	Alexithymia, not autism, is associated with impaired interoception	2016	healthy	(1 - (|actual - reported|) / actual) x 100	1	-0.36	-0.36	0	38	52.63	1	1	4	 25, 35, 45, 100	TAS-20	0.02417777778	
Shah 2016 (2) (c.)	6	Shah et al., 2016	Emotional decision-making in autism spectrum disorder: the roles of interoception and alexithymia	2016	patients	(1 - (|actual - reported|/actual)) × 100	1	-0.61	-0.61	0	20	15	2	2	4	25, 35, 45, 100	TAS-20	0.03488333333	
Shah 2016 (2) (h.)	6	Shah et al., 2016	Emotional decision-making in autism spectrum disorder: the roles of interoception and alexithymia	2016	healthy	(1 - (|actual - reported|/actual)) × 100	1	-0.6	-0.6	0	20	30	2	2	4	25, 35, 45, 100	TAS-20	0.03555555556	
Borhani 2017	7	Borhani et al., 2017	“Lacking warmth”: Alexithymia trait is related to warm-specific thermal somatosensory processing	2017	healthy	0	0	0.03	0.03	1	40	70	1	1	3	25, 45, 60	TAS-20	0.02629210526	
Bornemann 2017	8	Bornemann and Singer, 2017	Taking time to feel our body: Steady increases in heartbeat perception accuracy and decreases in alexithymia over 9 months of contemplative mental training	2017	healthy	0	0	0.08	0.08	0	318	58.8	1	1	5	15, 25, 35, 45, 55	TAS-20	0.003144303797	
Scarpazza 2017	9	Scarpazza et al., 2017	Now or not-now? The influence of alexithymia on intertemporal decision-making	2017	healthy	0	0	0.7	0.7	1	28	NA	1	1	3	25, 45, 60	TAS-20	0.01961538462	
Christensen 2018	10	Christensen et al., 2018	I can feel my heartbeat: Dancers have increased interoceptive accuracy	2018	healthy	1 - (actual - reported)/[(actual - reported)/2]	1	0.055	0.055	0	40	100	1	1	4	25, 35, 45, 100	TAS-20	0.02623618421	
Murphy 2018 (1)	11	Murphy et al. 2018	Is alexithymia characterised by impaired interoception? Further evidence, the importance of control variables, and the problems with the Heartbeat Counting Task	2018	healthy	(1 - (|actual - reported|/actual)) x 100	1	-0.079	-0.079	0	287	70	3	2	4	25/28, 35/38, 45/48, 100/103	TAS-20	0.003486873684	
Nicholson 2018 Exp1	12	Nicholson et al., 2018 Exp1	Interoceptive Impairments Do Not Lie at the Heart of Autism or Alexithymia	2018	healthy	1 - (actual - reported)/[(actual - reported)/2]	1	0.008	0.008	0	137	83.21	1	1	4	25, 35, 45, 100	TAS-20	0.007406933333	
Nicholson 2018 Exp2 (c.)	12	Nicholson et al., 2018 Exp2	Interoceptive Impairments Do Not Lie at the Heart of Autism or Alexithymia	2018	patients	1 - (actual - reported)/[(actual - reported)/2]	1	0.08	0.08	0	46	NA	1	1	4	25, 35, 45, 100	TAS-20	0.02258181818	
Nicholson 2018 Exp2 (h.)	12	Nicholson et al., 2018 Exp2	Interoceptive Impairments Do Not Lie at the Heart of Autism or Alexithymia	2018	healthy	1 - (actual - reported)/[(actual - reported)/2]	1	0.21	0.21	0	48	NA	1	1	4	25, 35, 45, 100	TAS-20	0.02078043478	
Zamariola 2018 (1) Exp1	13	Zamariola et al., 2018	Relationship between interoceptive accuracy, interoceptive sensibility, and alexithymia	2018	healthy	0	0	-0.1	-0.1	0	99	50.5	1	1	3	25, 35, 45	TAS-20	0.01020618557	
Zamariola 2018 (1) Exp2	13	Zamariola et al., 2018	Relationship between interoceptive accuracy, interoceptive sensibility, and alexithymia	2018	healthy	0	0	0.07	0.07	0	158	74.68	1	1	3	25, 35, 45	TAS-20	0.006378846154	
Zamariola 2018 (1) Exp3	13	Zamariola et al., 2018	Relationship between interoceptive accuracy, interoceptive sensibility, and alexithymia	2018	healthy	0	0	-0.05	-0.05	0	157	75.16	1	1	3	25, 35, 45	TAS-20	0.006435483871	
Zamariola 2018 (1) Exp4	13	Zamariola et al., 2018	Relationship between interoceptive accuracy, interoceptive sensibility, and alexithymia	2018	healthy	0	0	-0.08	-0.08	0	59	83.5	1	1	3	25, 35, 45	TAS-20	0.01743157895	
Zamariola 2018 (1) Exp5	13	Zamariola et al., 2018	Relationship between interoceptive accuracy, interoceptive sensibility, and alexithymia	2018	healthy	0	0	-0.03	-0.03	0	56	75	1	1	3	25, 35, 45	TAS-20	0.01850185185	
Zamariola 2018 (1) Exp6	13	Zamariola et al., 2018	Relationship between interoceptive accuracy, interoceptive sensibility, and alexithymia	2018	healthy	0	0	0.06	0.06	0	45	60	1	1	3	25, 35, 45	TAS-20	0.02317209302	
Costa 2019	14	Costa et al., 2019	Do Psychosocial Factors Moderate the Relation between Testosterone and Female Sexual Desire? The Role of Interoception, Alexithymia, Defense Mechanisms, and Relationship Status	2019	healthy	0	0	-0.001	-0.001	0	168	100	1	1	3	25, 35, 45	TAS-20	0.006024090361	
Leganes-Fonteneau 2019	15	Leganes-Fonteneau et al., 2019	Interoceptive awareness is associated with acute alcohol-induced changes in subjective effects	2019	healthy	1 - (|actual - reported|)/((actual + reported)/2)	1	0.03	0.03	0	50	60	2	1	6	25, 30, 35, 40, 45, 50	TAS-20	0.02081458333	
Murphy 2019	16	Murphy et al., 2019	No effect of age on emotion recognition after accounting for cognitive factors and depression	2019	healthy	(1 - (|actual - reported|/actual)) x 100	1	-0.088	-0.088	0	134	63.43	3	2	4	25/28, 35/38, 45/48, 100/103	TAS-20	0.007517090909	
Nicholson 2019 (c.)	17	Nicholson et al., 2019	Interoception is Impaired in Children, But Not Adults, with Autism Spectrum Disorder	2019	patients	1 - (|actual - reported|)/((actual + reported)/2)	1	0.65	0.65	0	21	38.09	2	2	4	25, 35, 45, 100	TAS-20	0.03039473684	
Nicholson 2019 (h.)	17	Nicholson et al., 2019	Interoception is Impaired in Children, But Not Adults, with Autism Spectrum Disorder	2019	healthy	1 - (|actual - reported|)/((actual + reported)/2)	1	0.283	0.283	0	21	38.09	2	2	4	25, 35, 45, 100	TAS-20	0.04841636842	
Murphy 2020 Exp 5	18	Murtphy et al., 2020	Testing the independence of self-reported interoceptive accuracy and attention	2020	healthy	(1 - (|actual - reported|/actual)) x 100	1	-0.256	-0.256	0	35	71.42	3	2	4	25/28, 35/38, 45/48, 100/103	TAS-20	0.02831709091	
Soker-Elimaliah 2020	19	Soker-Elimaliah et al., 2020	Autistic traits moderate relations between cardiac autonomic activity, interoceptive accuracy, and emotion processing in college students	2020	healthy	0	0	-0.11	-0.11	0	76	NA	1	1	3	25, 35, 45	TAS-20	0.01335	
Manzoor 2021	20	Manzoor et al., 2021	Interoception moderates the relation between alexithymia and risky-choices in a framing task: A proposal of two-stage model of decision-making	2021	healthy	Error score: ((|actual - reported|) / actual) x 100))	1	-0.031	0.031	0	42	64.29	2	2	6	25, 35, 45 (x2)	TAS-20	0.024975975	
Quadt 2021	21	Quadt et al., 2021	Interoceptive training to target anxiety in autistic adults (ADIE): A single-center, superiority randomized controlled trial	2021	patients	1 - (|actual - reported|)/((actual + reported)/2)	1	0.07	0.07	0	121	55	2	2	6	25, 30, 35, 40, 45, 50	TAS-20	0.008362184874	
Ricciadri 2021	22	Ricciardi et al., 2021	Exploring three levels of interoception in people with functional motor disorders	2021	patients	0	0	0.142	0.142	0	22	86.36	1	1	3	25, 35, 45	TAS-20	0.0489918	
Shizuma 2021	23	Shizuma et al., 2021	Interoception and alexithymia are related to differences between the self-reported and the objectively measured physical activity in patients with chronic musculoskeletal pain	2021	patients	0	0	-0.389	-0.389	0	33	84.8	1	1	3	25, 35, 45	TAS-20	0.02737674194	
Morales 2022	24	Morales et al., 2022	Exploring the contributions of affective constructs and interoceptive awareness to feeling fat	2022	healthy	0	0	-0.01	-0.01	0	128	100	1	1	4	25, 35, 45 ,55	TAS-20	0.007935714286	
Arslanova 2023	25	Arslanova et al., 2023	Perception of facial expressions involves emotion specific somatosensory cortex activations which are shaped by alexithymia	2023	healthy	0	0	0.01	0.01	0	29	55	1	1	4	20, 35, 45, 100	TAS-20	0.03703333333	
Parfenov 2023	26	Parfenov and Duncan, 2023	Increasing familiarity with the heartbeat counting task does not affect performance	2023	healthy	0	0	0.12	0.12	0	79	56.96	3	2	21	25, 35, 45 (x7)	TAS-20	0.0128	
Vinni 2023 (c.1)	27	Vinni et al., 2023	Alexithymic characteristics and interoceptive abilities are associated with disease severity and levels of C-reactive protein and cytokines in patients with inflammatory bowel disease	2023	patients	0	0	-0.313	-0.313	0	41	36.59	1	1	6	25, 35, 45 (x2)	TAS-20	0.023129	
Vinni 2023 (c.2)	27	Vinni et al., 2023	Alexithymic characteristics and interoceptive abilities are associated with disease severity and levels of C-reactive protein and cytokines in patients with inflammatory bowel disease	2023	patients	0	0	-0.359	-0.359	0	16	62.5	1	1	6	25, 35, 45 (x2)	TAS-20	0.06222278571	
Yoshino 2023 (c.)	28	Yoshino et al., 2023	Patients with postprandial distress syndrome experience problems with their interoceptive perceptual function to the gastric region, but their heartbeat perception is normal: a case control study	2023	patients	0	0	-0.108	-0.108	0	16	100	1	1	4	25, 35, 45, 55	TAS-20	0.07059542857	
Yoshino 2023 (h.)	28	Yoshino et al., 2023	Patients with postprandial distress syndrome experience problems with their interoceptive perceptual function to the gastric region, but their heartbeat perception is normal: a case control study	2023	healthy	0	0	-0.362	-0.362	0	16	100	1	1	4	25, 35, 45, 55	TAS-20	0.06206828571	