	Article	STAI-T	TAS-20	BDI-II
1	Abrams et al. 2018	1	0	0
2	Arslanova et al. 2023	0	1	0
3	Bokk and Foster 2022	1	0	0
4	Borhani et al. 2017	0	1	0
5	Bornemann and Singer 2017	0	1	0
6	Botan et al. 2021	1	0	0
7	Christensen et al. 2018	0	1	0
8	Costa et al. 2019	0	1	0
9	Critchley et al. 2023	1	0	0
10	Di Lernia et al. 2018	1	0	1
11	Di lernia et al. 2020	0	0	1
12	Dunn et al. 2007	1	0	0
13	Duschek et al. 2015	1	0	0
14	Ehlers and Breuer 1992	1	0	0
15	Furman et al. 2013	0	0	1
16	Herbert et al. 2010	1	0	0
17	Herbert et al. 2011	0	1	1
18	Herbert et al. 2012	1	0	0
19	Herbert et al. 2013	1	0	0
20	Karanassios et al. 2021	0	0	1
21	Kindermann and Werner 2014	1	0	0
22	Kindermann and Werner 2014	1	0	0
23	Kormendi et al. 2023	1	0	0
24	Kutscheidt et al. 2019	1	0	1
25	Leganes-Fonteneau et al. 2019	0	1	0
26	Manzoor et al. 2021	0	1	0
27	Michal et al. 2014	1	0	1
28	Morales et al. 2022	0	1	1
29	Murphy et al. 2018	0	1	0
30	Murphy et al. 2019	1	1	0
31	Murtphy et al. 2020	0	1	0
32	Nicholson et al. 2018	0	1	0
33	Nicholson et al. 2019	0	1	1
34	Noda et al. 2022	1	0	0
35	Parfenov and Duncan 2023	1	1	1
36	Parkin et al. 2014	1	0	1
42	Pollatos and Georgiou 2016	1	0	0
37	Pollatos et al. 2007	1	0	0
38	Pollatos et al. 2007	1	0	0
39	Pollatos et al. 2007	1	0	0
40	Pollatos et al. 2007	1	0	0
41	Pollatos et al. 2009	1	0	1
43	Quadt et al. 2021	1	1	0
44	Rae et al. 2019	1	0	0
46	Ricciardi et al. 2016	0	1	0
47	Ricciardi et al. 2016	0	1	0
45	Ricciardi et al. 2021	0	1	0
48	Santangelo et al. 2018	0	0	1
49	Scarpazza et al. 2015	0	1	0
50	Scarpazza et al. 2017	0	1	0
51	Scheuren et al. 2014	1	0	0
52	Schultechen et al. 2019	1	0	1
53	Schulz et al. 2020	1	0	1
54	Shah et al. 2016	1	1	1
55	Shah et al. 2016	0	1	0
56	Shizuma et al. 2021	0	1	0
57	Soker-Elimaliah et al. 2020	0	1	0
58	Tan et al. 2018	1	0	0
59	Vinni et al. 2023	0	1	0
60	Watson et al. 2019	1	0	0
61	Werner et al. 2009	1	0	0
62	Werner et al. 2010	1	0	0
63	Werner et al. 2013	1	0	0
64	Werner et al. 2013	1	0	0
65	Werner et al. 2014	1	0	0
66	Wölk et al. 2014	1	0	1
67	Yoshino et al. 2022	1	0	1
68	Yoshino et al. 2023	0	1	0
69	Zamariola et al. 2018	0	1	0
70	Zhou et al. 2022	1	0	0